refCode,Pairs,Domain,r_twin_PP,z_twin_PP
03277_UR,UR,scenes val.,0.7339210731952331,0.9371738285175623
03285_UR,UR,scenes val.,0.7679289961838499,1.015260353043839
03291_UR,UR,scenes val.,0.6823186447888613,0.8334397069011655
03292_UR,UR,scenes val.,0.6842776778316889,0.8371144865344409
03307_UR,UR,scenes val.,0.7397690936904177,0.9499691702745974
03312_UR,UR,scenes val.,0.8399029966324594,1.2208441137094614
03316_UR,UR,scenes val.,0.6655429195129361,0.8026989325840385
03320_UR,UR,scenes val.,0.7383172396417631,0.9467699444156038
03334_UR,UR,scenes val.,0.7318198113158869,0.932634474124723
03335_UR,UR,scenes val.,0.64377850509914,0.764600061606362
03344_UR,UR,scenes val.,0.7371269783179489,0.9441583786779679
03345_UR,UR,scenes val.,0.6319088197957959,0.7445874919838054
03346_UR,UR,scenes val.,0.7659075304906249,1.0103519063299469
03355_UR,UR,scenes val.,0.6741243550662593,0.818264841567992
03367_UR,UR,scenes val.,0.7039435227824263,0.8750751626992274
03378_UR,UR,scenes val.,0.8272167892119657,1.1792557580264855
03383_UR,UR,scenes val.,0.8073215163111384,1.1192891454229852
03384_UR,UR,scenes val.,0.5372218013149678,0.6002420771433479
03391_UR,UR,scenes val.,0.8827729822445708,1.3881942910752032
03394_UR,UR,scenes val.,0.8092271471434636,1.124785787139883
03396_UR,UR,scenes val.,0.5425138270206379,0.6077110292546362
03399_UR,UR,scenes val.,0.8637142643276476,1.3077865062537362
03400_UR,UR,scenes val.,0.6772777730646122,0.8240677051481058
03402_UR,UR,scenes val.,0.8228950943234261,1.1657194914771876
03403_UR,UR,scenes val.,0.8259387348057662,1.1752210864736556
03407_UR,UR,scenes val.,0.5770991016274846,0.6581022790335673
03416_UR,UR,scenes val.,0.8470967030723113,1.245782330159931
03419_UR,UR,scenes val.,0.8669439255439881,1.3206437283737105
03423_UR,UR,scenes val.,0.6974755133515947,0.8623676062058567
03424_UR,UR,scenes val.,0.6218072478842428,0.7279461998269718
03429_UR,UR,scenes val.,0.7257152152348763,0.9196149669896051
03430_UR,UR,scenes val.,0.7025350280189797,0.8722885677295654
03431_UR,UR,scenes val.,0.6580103415574677,0.7892965374556504
03436_UR,UR,scenes val.,0.5684829745333466,0.6452786033700734
03437_UR,UR,scenes val.,0.783993122508978,1.0556496053115856
03444_UR,UR,scenes val.,0.7784847314205486,1.0415127432576783
03458_UR,UR,scenes val.,0.8571398516765336,1.2824633505446217
03462_UR,UR,scenes val.,0.6824710149200867,0.8337248641132623
03470_UR,UR,scenes val.,0.5875185804932049,0.673868136902845
03474_UR,UR,scenes val.,0.6735332431229664,0.8171821289801366
03476_UR,UR,scenes val.,0.791626002734816,1.0757721695137434
03477_UR,UR,scenes val.,0.6183246007654444,0.7222880944341306
03485_UR,UR,scenes val.,0.9067948103312363,1.509187799190254
03493_UR,UR,scenes val.,0.6595161255590275,0.7919567911168527
03496_UR,UR,scenes val.,0.7594931019119483,0.9950161324293408
03498_UR,UR,scenes val.,0.7613531184522314,0.9994263168162884
03519_UR,UR,scenes val.,0.4720713807023457,0.512732353297519
03558_UR,UR,scenes val.,0.7818570518122876,1.050130406724114
03685_UR,UR,scenes val.,0.5486184478754836,0.6164027465409191
03710_UR,UR,scenes val.,0.855275102795488,1.2754767938780691
03742_UR,UR,scenes val.,0.6973002858904105,0.8620264645232093
03769_UR,UR,scenes val.,0.8630258804685578,1.3050826314381474
03775_UR,UR,scenes val.,0.8646812261210427,1.311606055082877
03888_UR,UR,scenes val.,0.8389932131422883,1.217763507795227
04007_UR,UR,scenes val.,0.8340225344409533,1.2012074551443632
04008_UR,UR,scenes val.,0.6537257480823963,0.7817774769154081
04012_UR,UR,scenes val.,0.7513966333609253,0.9761550517258538
04014_UR,UR,scenes val.,0.5219229995139434,0.5789790685471384
04017_UR,UR,scenes val.,0.8007486890479504,1.1006954493420227
04023_UR,UR,scenes val.,0.7518433573185903,0.9771818445429954
04025_UR,UR,scenes val.,0.5291102942072061,0.5889087209443002
04027_UR,UR,scenes val.,0.7854909998192879,1.0595485149717272
04029_UR,UR,scenes val.,0.7865925535499372,1.0624311253626335
04032_UR,UR,scenes val.,0.5478580972247616,0.615315653366668
04050_UR,UR,scenes val.,0.8197309990619132,1.1559968907330178
04052_UR,UR,scenes val.,0.772559035723336,1.0266444286469705
04061_UR,UR,scenes val.,0.525604827209122,0.5840527730931183
04065_UR,UR,scenes val.,0.717651431936201,0.9027854127873621
04071_UR,UR,scenes val.,0.8228068347456569,1.165446171170585
04073_UR,UR,scenes val.,0.8233822424469328,1.1672302974444222
04082_UR,UR,scenes val.,0.8281793649660627,1.182312377475231
04085_UR,UR,scenes val.,0.37215708176289775,0.3909246439141648
04093_UR,UR,scenes val.,0.689363182542083,0.8467412407916391
04098_UR,UR,scenes val.,0.8309143373603061,1.19108264646598
04100_UR,UR,scenes val.,0.8506906389400514,1.2586468822540129
04118_UR,UR,scenes val.,0.5758226854262031,0.6561905961392127
04119_UR,UR,scenes val.,0.6449392847454679,0.766584974905675
04125_UR,UR,scenes val.,0.517233764332779,0.5725557557851133
04130_UR,UR,scenes val.,0.7262199760206044,0.9206821801082037
04133_UR,UR,scenes val.,0.5191458457563352,0.5751697509064574
04148_UR,UR,scenes val.,0.8666284935884427,1.3193753112158102
04149_UR,UR,scenes val.,0.7740399704645311,1.030328285356417
04152_UR,UR,scenes val.,0.6797069016306362,0.8285690424369019
04153_UR,UR,scenes val.,0.6311082149882566,0.7432558068998035
04156_UR,UR,scenes val.,0.8790271455086093,1.3714716343560889
04159_UR,UR,scenes val.,0.6403116761194305,0.7587018298584811
04172_UR,UR,scenes val.,0.6547620892110192,0.7835893744382033
04174_UR,UR,scenes val.,0.5867719226778154,0.672728654158695
04188_UR,UR,scenes val.,0.872479666805962,1.3433715142842988
04213_UR,UR,scenes val.,0.6561401708954459,0.7860054374116949
04219_UR,UR,scenes val.,0.6833984338864793,0.8354629061758477
04222_UR,UR,scenes val.,0.7510553876834859,0.9753717662948748
04224_UR,UR,scenes val.,0.6375605631614293,0.7540527812077619
04225_UR,UR,scenes val.,0.5349814607298347,0.597098154028565
04227_UR,UR,scenes val.,0.6916198097522576,0.851054205260149
04235_UR,UR,scenes val.,0.6186446007384397,0.7228063325105807
04242_UR,UR,scenes val.,0.5093235621828309,0.5618159664615857
04243_UR,UR,scenes val.,0.5760546505933253,0.6565376962866234
04247_UR,UR,scenes val.,0.5587537603774797,0.6310194116567512
04251_UR,UR,scenes val.,0.6323245077586703,0.7452798108580719
04257_UR,UR,scenes val.,0.38688466855043996,0.40813110211478065
04260_UR,UR,scenes val.,0.7519875764172527,0.9775136701915819
04261_UR,UR,scenes val.,0.8973767006125692,1.4585812653711623
04262_UR,UR,scenes val.,0.6517899850888753,0.7784045147292427
04263_UR,UR,scenes val.,0.8004763117494804,1.0999367795694166
04264_UR,UR,scenes val.,0.7461597674125946,0.9642345867406493
04265_UR,UR,scenes val.,0.4920355911731865,0.538742625696688
04284_UR,UR,scenes val.,0.6364796973931605,0.7522337696109621
04285_UR,UR,scenes val.,0.7626830045500073,1.0025977903433934
04287_UR,UR,scenes val.,0.5552394919316822,0.625924436840654
04288_UR,UR,scenes val.,0.5173150098310376,0.5726666821645123
04291_UR,UR,scenes val.,0.8276676354101921,1.1806854761454464
04297_UR,UR,scenes val.,0.5499261950670494,0.6182755062078428
04301_UR,UR,scenes val.,0.7662223239790321,1.0111138516291793
04329_UR,UR,scenes val.,0.7306382687701493,0.9300951794529362
04330_UR,UR,scenes val.,0.8391413498857172,1.218264027126693
04331_UR,UR,scenes val.,0.7546904551781579,0.9837634401047419
04334_UR,UR,scenes val.,0.7537294904162374,0.9815346862062204
04335_UR,UR,scenes val.,0.6832821638414165,0.8352447823397656
