Item,Value,FamId,is_repeated
sc032,7,00016,1
sc122,5,00016,2
sc013,7,00016,2
sc034,NA,00016,2
sc002,9,00017,1
sc142,7,00017,1
sc088,4,00017,2
sc146,8,00017,1
sc149,1,00017,1
sc162,1,00017,1
sc032,7,00017,1
sc034,7,00017,1
sc025,6,00017,1
sc020,4,00017,1
sc188,9,00017,1
sc065,8,00017,1
sc002,NA,00017,2
sc082,6,00017,1
sc032,NA,00017,2
sc176,NA,00017,2
sc161,7,00017,1
sc055,NA,00017,2
sc108,5,00017,1
sc048,7,00017,1
sc055,2,00017,1
sc050,9,00017,2
sc146,NA,00017,2
sc164,6,00017,2
sc015,8,00017,1
sc051,5,00017,2
sc089,7,00017,2
sc001,4,00017,1
sc085,6,00017,1
sc120,7,00017,1
sc020,NA,00017,2
sc143,7,00017,1
sc176,9,00017,1
sc021,7,00017,1
sc170,1,00017,1
sc074,5,00017,1
sc080,9,00017,2
sc116,1,00017,1
sc074,NA,00017,2
sc198,1,00017,1
sc079,5,00017,1
sc165,8,00017,1
sc034,NA,00017,2
sc004,8,00017,1
sc108,6,00017,2
sc065,8,00017,2
sc103,7,00017,1
sc115,NA,00017,2
sc142,NA,00017,2
sc015,NA,00017,2
sc189,8,00017,1
sc013,9,00017,1
sc021,NA,00017,2
sc025,4,00017,2
sc085,NA,00017,2
sc103,8,00017,2
sc001,2,00017,2
sc151,9,00017,1
sc161,NA,00017,2
sc053,8,00017,1
sc050,8,00017,1
sc149,2,00017,2
sc164,7,00017,1
sc008,8,00017,1
sc194,8,00017,1
sc075,8,00017,1
sc116,NA,00017,2
sc046,7,00017,1
sc120,NA,00017,2
sc115,9,00017,1
sc080,9,00017,1
sc008,NA,00017,2
sc082,NA,00017,2
sc165,8,00017,2
sc194,NA,00017,2
sc184,3,00017,1
sc143,6,00017,2
sc004,NA,00017,2
sc162,NA,00017,2
sc049,7,00017,1
sc048,7,00017,2
sc188,9,00017,2
sc079,3,00017,2
sc089,7,00017,1
sc051,6,00017,1
sc047,8,00017,1
sc122,6,00017,2
sc122,6,00017,1
sc046,NA,00017,2
sc053,9,00017,2
sc170,1,00017,2
sc198,1,00017,2
sc088,4,00017,1
sc184,NA,00017,2
sc047,NA,00017,2
sc013,9,00017,2
sc049,NA,00017,2
sc151,NA,00017,2
sc189,8,00017,2
sc075,8,00017,2
sc001,1,00019,1
sc015,NA,00019,2
sc149,4,00019,1
sc002,7,00019,1
sc065,8,00019,1
sc049,NA,00019,2
sc050,7,00019,2
sc143,6,00019,1
sc025,5,00019,1
sc184,1,00019,1
sc120,3,00019,1
sc108,1,00019,2
sc108,1,00019,1
sc004,8,00019,1
sc048,1,00019,1
sc103,4,00019,1
sc116,1,00019,1
sc082,1,00019,1
sc188,7,00019,1
sc142,2,00019,1
sc085,6,00019,1
sc034,3,00019,1
sc103,6,00019,2
sc020,NA,00019,2
sc088,1,00019,2
sc001,1,00019,2
sc164,6,00019,2
sc004,NA,00019,2
sc002,NA,00019,2
sc021,NA,00019,2
sc049,5,00019,1
sc032,8,00019,1
sc047,2,00019,1
sc161,9,00019,1
sc198,1,00019,1
sc079,2,00019,1
sc089,1,00019,1
sc046,6,00019,1
sc165,8,00019,1
sc080,6,00019,1
sc194,8,00019,1
sc176,4,00019,1
sc170,1,00019,1
sc074,NA,00019,2
sc032,NA,00019,2
sc164,5,00019,1
sc008,8,00019,1
sc184,NA,00019,2
sc051,1,00019,2
sc142,NA,00019,2
sc085,NA,00019,2
sc020,5,00019,1
sc034,NA,00019,2
sc015,9,00019,1
sc074,6,00019,1
sc053,7,00019,1
sc080,6,00019,2
sc021,7,00019,1
sc025,6,00019,2
sc176,NA,00019,2
sc055,NA,00019,2
sc008,NA,00019,2
sc149,2,00019,2
sc065,7,00019,2
sc079,2,00019,2
sc115,9,00019,1
sc075,5,00019,1
sc151,NA,00019,2
sc046,NA,00019,2
sc048,1,00019,2
sc188,7,00019,2
sc089,1,00019,2
sc151,8,00019,1
sc115,NA,00019,2
sc050,8,00019,1
sc162,1,00019,1
sc013,6,00019,1
sc161,NA,00019,2
sc198,1,00019,2
sc143,6,00019,2
sc146,4,00019,1
sc047,NA,00019,2
sc189,8,00019,2
sc165,8,00019,2
sc053,7,00019,2
sc051,1,00019,1
sc120,NA,00019,2
sc122,2,00019,1
sc082,NA,00019,2
sc055,1,00019,1
sc146,NA,00019,2
sc170,1,00019,2
sc162,NA,00019,2
sc194,NA,00019,2
sc075,5,00019,2
sc122,2,00019,2
sc088,1,00019,1
sc013,7,00019,2
sc189,9,00019,1
sc116,NA,00019,2
sc001,3,00028,1
sc188,9,00028,1
sc034,6,00028,1
sc065,6,00028,1
sc146,5,00028,1
sc004,7,00028,1
sc120,5,00028,1
sc176,6,00028,1
sc088,3,00028,2
sc089,2,00028,1
sc050,7,00028,2
sc116,1,00028,1
sc108,4,00028,1
sc082,5,00028,1
sc021,8,00028,1
sc151,8,00028,1
sc020,5,00028,1
sc184,4,00028,1
sc080,6,00028,1
sc001,3,00028,2
sc034,NA,00028,2
sc089,3,00028,2
sc198,2,00028,1
sc048,2,00028,1
sc164,4,00028,2
sc047,9,00028,1
sc176,NA,00028,2
sc165,7,00028,1
sc055,1,00028,1
sc162,1,00028,1
sc079,3,00028,1
sc170,1,00028,1
sc015,NA,00028,2
sc015,9,00028,1
sc002,NA,00028,2
sc025,4,00028,2
