category,FamId,Sex,Age,Zygosity,avgP_1,avgP_2,varP_1,varP_2,mm2_r_1,mm2_r_2,mm2_z_1,mm2_z_2
SC,511,2,44,1,4.05,4.01,0.6352040816326532,4.413163265306123,0.452644632620854,0.541577430740979,0.488021400550801,0.606385038896876
FA_TOT,512,2,27,1,2.892500000000001,2.82,0.8263253768844221,1.6609045226130674,0.725356412069369,0.786970457431096,0.918857355314532,1.06342306474439
SC,512,2,27,1,3.5599999999999996,3.6100000000000003,6.639183673469385,4.696836734693876,0.85498049202134,0.927285974063586,1.27438059370033,1.63866688313393
AO,512,2,27,1,NA,3.1,NA,1.020408163265306,NA,0.212335677650924,NA,0.215616038903788
AO,513,1,27,1,4.23,3.5,1.1143877551020414,1.2346938775510203,0.221665635256613,0.579666336561638,0.225407137400732,0.661960045845284
FA_TOT,513,1,27,1,3.6600000000000006,3.71,1.3285427135678398,0.6089447236180907,0.55957817799113,0.45137492482321,0.63221885545291,0.486425662557097
SC,513,1,27,1,4.37,4.08,2.7837755102040798,1.371020408163265,0.78747484272237,0.76459949968208,1.06474941596077,1.00719535551941
AO,514,2,25,1,4.03,4.09,3.2592857142857152,2.323367346938776,0.320007558605392,0.424049481961359,0.331655529634009,0.452619044556873
FA_TOT,514,2,25,1,3.919999999999999,4.255,2.7498492462311543,2.4673115577889435,0.705506132214246,0.812747423953838,0.878179508494403,1.13507025381064
SC,514,2,25,1,3.99,3.66,3.7805102040816334,3.8004081632653044,0.733611263952997,0.895643478061227,0.936502645984691,1.44975024697745
AO,515,2,25,3,3.71,2.86,2.6335714285714285,2.1228571428571414,0.228800658994123,0.58495412630262,0.232923504946456,0.669960845172588
FA_TOT,515,2,25,3,2.81,3.2374999999999994,2.2627135678391914,3.0852701005025085,0.704740587456444,0.837858546157023,0.876656947771389,1.21394360655131
SC,515,2,25,3,3.82,3.3,6.15061224489796,4.989795918367345,0.930295022373639,0.928199022756655,1.66057820066071,1.64522180541034
AO,516,2,24,1,3.0400000000000005,3.3,4.8351020408163246,4.3265306122448965,0.474128492335021,0.30895855480289097,0.515382670303612,0.319393651568874
FA_TOT,516,2,24,1,3.714999999999997,4.1325,3.533944723618088,2.3805967336683436,0.776730025572922,0.61395657406274,1.0370741013285,0.715247038558858
SC,516,2,24,1,3.63,3.81,5.763367346938773,5.94785714285714,0.877400123464389,0.894758560024008,1.36435858460763,1.4452947807902
AO,517,2,68,1,4.27,5.65,1.8796938775510197,1.7474489795918366,0.227373095662672,0.584179421735448,0.231417598598059,0.668783986141136
FA_TOT,517,2,68,1,4.017500000000001,3.6049999999999995,1.8200439698492463,1.0894221105527628,0.794894826438973,0.74271943344562,1.08458940867704,0.95651743843338
SC,517,2,68,1,3.99,4.2,4.392755102040816,6.581632653061225,0.714644085194995,0.946679399168787,0.89661179127507,1.79877878207615
AO,518,2,24,1,1.8500000000000003,2.96,1.2372448979591848,1.1514285714285717,0.514947946626864,0.617989312353561,0.569440073485056,0.721745452890936
FA_TOT,518,2,24,1,2.7524999999999995,3.5449999999999986,2.115571608040193,2.0055025125628125,0.82135586257896,0.739864520738094,1.16097035711128,0.950179979072301
SC,518,2,24,1,3.31,4.17,2.580510204081633,1.9245918367346933,0.675143122334466,0.763358821335416,0.820134588928427,1.00421535536955
AO,519,2,43,1,1.52,3.0300000000000002,1.4893877551020385,3.3001020408163275,0.390620666094079,0.467739289406111,0.412532247527784,0.507172585410035
FA_TOT,519,2,43,1,2.8850000000000002,3.4075,3.5269095477386934,3.8921545226130654,0.772105071116393,0.748339844524918,1.02551937005674,0.969171184210681
SC,519,2,43,1,3.15,4.05,5.676020408163268,5.982142857142856,0.818103248265342,0.74986474323483,1.15105491870444,0.972645987864958
AO,52,2,62,1,2.52,2.88,0.7138775510204085,3.0567346938775506,0.533575301321374,0.773519750451417,0.595130248467044,1.02903183395877
FA_TOT,52,2,62,1,3.5675,3.0725000000000007,2.634868090452259,0.9783856783919616,0.871544354115818,0.834961907929097,1.33946777514856,1.20430134667971
SC,52,2,62,1,3.06,3.3800000000000003,2.2106122448979586,3.924081632653061,0.873593461103698,0.922721672274629,1.34805514533543,1.60704172420058
AO,520,2,59,1,3.5300000000000002,5.79,2.5756122448979593,1.286632653061224,0.419908801140176,0.269325054981972,0.447581296695258,0.276135948107702
FA_TOT,520,2,59,1,2.470000000000001,5.1674999999999995,1.6850251256281434,1.5735615577889461,0.714870311943735,0.823388220033584,0.897074307152338,1.16724885925902
SC,520,2,59,1,3.82,6.14,4.099591836734694,1.541224489795917,0.855707399580864,0.480736107025046,1.27708903225583,0.523941197237213
AO,521,2,24,1,4.32,4.57,1.9261224489795934,1.3572448979591833,0.370702660052548,0.428194299105684,0.38923745718321,0.457683473760091
FA_TOT,521,2,24,1,4.175,NA,1.1752512562814064,NA,0.633368677841073,NA,0.747021531665445,NA
SC,521,2,24,1,4.77,4.71,2.3694897959183656,1.5621428571428568,0.76767070599755,0.828663765424617,1.01463111878728,1.18385644316551
AO,522,2,62,1,4.56,3.69,2.904489795918367,1.2641836734693879,0.418963107612037,0.384832345134054,0.446433712518058,0.405719760328052
FA_TOT,522,2,62,1,3.537499999999999,4.125,3.5073806532663316,1.2807788944723617,0.814431122581431,0.718238825167478,1.14005057325787,0.903997646003637
SC,522,2,62,1,4.78,4.09,3.766938775510204,3.70091836734694,0.897473303918651,0.850556665846989,1.45907761292412,1.25816224402801
AO,523,1,23,3,4.05,3.98,2.4515306122448983,1.3567346938775509,0.719428705650813,0.686584366591904,0.9064597526433,0.841465232996109
FA_TOT,523,1,23,3,4.4025,4.35,1.7530087939698484,1.0150753768844227,0.735059070657315,0.799847068756681,0.939644922646029,1.09818762395447
SC,523,1,23,3,4.38,4.43,2.066938775510204,1.34704081632653,0.888441627810246,0.784768997633031,1.41447963053875,1.05766619589666
AO,524,2,24,1,3.96,3.93,2.7942857142857136,3.459285714285714,0.663066934109578,0.66843683485159,0.798267217153544,0.807912052560011
FA_TOT,524,2,24,1,4.397499999999999,4.222500000000001,0.970596733668341,1.2856721105527629,0.631550445458604,0.78143669081764,0.743991113515222,1.04904986514774
SC,524,2,24,1,4.47,4.34,2.2286734693877555,3.9228571428571417,0.726489216804284,0.834377795711906,0.921252111676714,1.20237565512755
AO,525,1,24,1,4.16,NA,1.7493877551020407,NA,0.114005513249025,NA,0.114503320787267,NA
FA_TOT,525,1,24,1,4.217499999999999,NA,1.2602449748743692,NA,0.740794187201794,NA,0.952237163678501,NA
SC,525,1,24,1,5.29,NA,0.7764285714285711,NA,0.511661180232461,NA,0.564977488370781,NA
AO,526,2,24,3,3.7800000000000002,4.06,3.8791836734693863,2.6493877551020413,0.778647118824847,0.45448463340039,1.04192506661506,0.490337969191946
FA_TOT,526,2,24,3,4.099999999999999,3.847500000000001,3.040201005025125,1.6814007537688445,0.793087053383153,0.72714634651635,1.07969793358204,0.922645115621607
SC,526,2,24,3,4.11,4.21,4.921326530612247,4.205000000000002,0.887258281596903,0.816756033018795,1.40889044273876,1.14699468619091
AO,527,1,57,3,3.5,3.39,2.5,0.3090816326530614,0.743913846093204,0.626509095009287,0.959186638255622,0.735648842074845
FA_TOT,527,1,57,3,3.290000000000001,3.612500000000001,2.862713567839193,1.1568781407035178,0.823499753584192,0.659363550866567,1.16759530130968,0.791686813876459
SC,527,1,57,3,4.27,5.62,4.5939795918367325,1.7506122448979593,0.888835653242757,0.771454116630935,1.41635307700412,1.02390951522301
AO,528,1,50,1,3.71,NA,3.2560204081632667,NA,0.730915317652664,NA,0.930689749298659,NA
FA_TOT,528,1,50,1,3.927499999999999,3.852500000000001,1.797481155778894,0.8663253768844225,0.712826789267796,0.763548225440857,0.89290741117631,1.00466941083451
SC,528,1,50,1,4.34,3.83,3.341224489795917,3.4960204081632646,0.877367090574703,0.882466671062106,1.36421508688396,1.38680815550198
FA_TOT,529,1,41,1,3.1875,3.9900000000000007,1.5538630653266332,2.459698492462314,0.612809139519939,0.846005986245974,0.713407496867134,1.24193296397334
SC,529,1,41,1,3.38,4.6899999999999995,3.1485714285714286,4.202959183673472,0.773868094305057,0.89347786625492,1.02989966130855,1.43890888289789
AO,529,1,41,1,NA,3.66,NA,2.300408163265305,NA,0.503669963925804,NA,0.554211470395966
AO,53,2,54,3,4.02,3.7000000000000006,2.142448979591837,1.0918367346938773,0.267259841643876,0.271760661811578,0.273910547535569,0.278763905914204
FA_TOT,53,2,54,3,3.7949999999999995,3.6675000000000004,1.6386683417085424,2.050948492462311,0.806861316925648,0.804640922115109,1.11796902197258,1.11163881279533
SC,53,2,54,3,3.75,2.94,2.951530612244898,1.3330612244897966,0.926412145835406,0.781316749834227,1.63246728642748,1.04874189016646
AO,530,2,53,1,5.89,4.52,4.390714285714287,1.5914285714285719,0.22272508065362,0.030016527733612,0.226521605057921,0.0300255474933095
FA_TOT,530,2,53,1,4.779999999999999,3.6225000000000005,3.1598994974874386,1.5841645728643212,0.67910939964428,0.686269488131311,0.827459278197131,0.840869794793655
SC,530,2,53,1,4.46,4.07,7.641224489795918,3.6633673469387764,0.924481844944432,0.892360936445042,1.61901947368554,1.43339843758734
AO,531,2,58,1,3.96,3.62,0.6922448979591839,1.2914285714285711,0.610825289281573,0.3837557915195,0.7102367790398,0.404456671042271
FA_TOT,531,2,58,1,4.1274999999999995,3.8475000000000015,0.9572801507537684,2.430144472361811,0.772774552441687,0.791074491396593,1.02717922816642,1.07429661149905
SC,531,2,58,1,4.96,5.61,2.590204081632652,1.462142857142857,0.903795542250393,0.687313573460137,1.49256456568094,0.842846042713695
AO,532,1,24,3,2.51,3.25,3.117244897959185,3.8903061224489797,0.553702322582083,0.718319372768121,0.623704894714724,0.904164040836028
FA_TOT,532,1,24,3,2.1725000000000003,3.7125000000000012,2.679893216080409,3.810144472361807,0.733037445615356,0.799017895497214,0.935261247031285,1.09589015479966
SC,532,1,24,3,3.15,3.7,3.1760204081632666,4.336734693877551,0.763008292893074,0.772641480023247,1.00337586841351,1.02684895998651
AO,533,2,43,1,4.4,3.84,1.5102040816326534,1.3616326530612233,0.265319188428742,0.232593675002007,0.271821778641441,0.236929743597299
FA_TOT,533,2,43,1,4.4399999999999995,3.9449999999999994,1.4034170854271366,1.9869095477386942,0.717689330941347,0.74455064636941,0.902863563247968,0.960614063387283
SC,533,2,43,1,3.83,3.63,3.5470408163265303,4.089897959183673,0.868044127919911,0.901294535357093,1.32508983866097,1.47907497822689
AO,534,1,59,1,5.94,NA,1.067755102040816,NA,0.608448599110529,NA,0.706454295691177,NA
FA_TOT,534,1,59,1,4.527499999999999,NA,0.7015012562814066,NA,0.582032790000181,NA,0.665531445284787,NA
SC,534,1,59,1,4.55,NA,2.1556122448979584,NA,0.788258704203643,NA,1.06681620388504,NA
AO,535,1,59,1,5.03,NA,0.7796938775510207,NA,0.706855982705737,NA,0.880872167860542,NA
