Item_2,Value,FamId,is_repeated
SCENES18,1,106,1
SCENES22,2,106,1
SCENES26,2,106,1
SCENES16,6,106,1
SCENES44,5,106,1
SCENES17,NA,106,2
SCENES9,4,106,1
SCENES33,4,106,1
SCENES10,7,106,1
SCENES5,NA,106,2
SCENES21,6,106,2
SCENES10,NA,106,2
SCENES25,NA,106,2
SCENES12,6,106,1
SCENES3,1,106,2
SCENES6,2,106,1
SCENES11,3,106,1
SCENES45,2,106,1
SCENES49,3,106,1
SCENES49,NA,106,2
SCENES38,1,106,1
SCENES36,2,106,1
SCENES50,NA,106,2
SCENES43,4,106,2
SCENES16,NA,106,2
SCENES31,NA,106,2
SCENES11,NA,106,2
SCENES15,6,106,2
SCENES5,6,106,1
SCENES37,NA,106,2
SCENES30,4,106,1
SCENES4,NA,106,2
SCENES27,4,106,2
SCENES14,NA,106,2
SCENES34,NA,106,2
SCENES41,NA,106,2
SCENES30,4,106,2
SCENES21,6,106,1
SCENES40,NA,106,2
SCENES33,4,106,2
SCENES32,NA,106,2
SCENES9,4,106,2
SCENES20,NA,106,2
SCENES42,NA,106,2
SCENES13,NA,106,2
SCENES38,3,107,1
SCENES39,2,107,2
SCENES26,3,107,1
SCENES10,6,107,1
SCENES25,NA,107,2
SCENES15,7,107,1
SCENES10,NA,107,2
SCENES42,NA,107,2
SCENES48,NA,107,2
SCENES20,NA,107,2
SCENES39,3,107,1
SCENES28,NA,107,2
SCENES2,5,107,1
SCENES26,NA,107,2
SCENES22,3,107,1
SCENES21,6,107,2
SCENES50,NA,107,2
SCENES17,4,107,1
SCENES19,4,107,1
SCENES36,2,107,2
SCENES29,7,107,1
SCENES40,NA,107,2
SCENES9,6,107,1
SCENES18,2,107,2
SCENES14,6,107,1
SCENES27,6,107,1
SCENES11,NA,107,2
SCENES8,NA,107,2
SCENES3,4,107,1
SCENES41,NA,107,2
SCENES47,7,107,1
SCENES14,NA,107,2
SCENES37,6,107,1
SCENES7,NA,107,2
SCENES49,NA,107,2
SCENES44,NA,107,2
SCENES45,NA,107,2
SCENES33,5,107,1
SCENES34,6,107,1
SCENES29,NA,107,2
SCENES4,6,107,1
SCENES16,7,107,1
SCENES6,2,107,2
SCENES40,6,107,1
SCENES5,6,107,1
SCENES48,2,107,1
SCENES46,NA,107,2
SCENES46,6,107,1
SCENES3,2,107,2
SCENES24,3,107,2
SCENES47,7,107,2
SCENES15,7,107,2
SCENES8,6,107,1
SCENES38,NA,107,2
SCENES34,NA,107,2
SCENES36,3,107,1
SCENES23,NA,107,2
SCENES19,NA,107,2
SCENES12,6,107,1
SCENES30,3,107,1
SCENES22,NA,107,2
SCENES30,2,107,2
SCENES6,3,107,1
SCENES25,3,107,1
SCENES2,NA,107,2
SCENES12,6,107,2
SCENES44,6,107,1
SCENES4,NA,107,2
SCENES24,3,107,1
SCENES32,3,107,1
SCENES11,5,107,1
SCENES23,4,107,1
SCENES42,3,107,1
SCENES31,7,107,1
SCENES20,3,107,1
SCENES32,NA,107,2
SCENES43,5,107,1
SCENES45,5,107,1
SCENES18,4,107,1
SCENES43,5,107,2
SCENES27,6,107,2
SCENES1,6,107,1
SCENES7,6,107,1
SCENES13,NA,107,2
SCENES35,3,107,1
SCENES33,6,107,2
SCENES28,7,107,1
SCENES31,NA,107,2
SCENES35,NA,107,2
SCENES9,6,107,2
SCENES37,NA,107,2
SCENES5,NA,107,2
SCENES49,2,107,1
SCENES50,5,107,1
SCENES41,3,107,1
SCENES17,NA,107,2
SCENES1,NA,107,2
SCENES21,6,107,1
SCENES13,6,107,1
SCENES16,NA,107,2
SCENES4,6,108,1
SCENES36,2,108,2
SCENES23,5,108,1
SCENES39,2,108,2
SCENES48,2,108,1
SCENES10,6,108,1
SCENES27,6,108,1
SCENES25,1,108,1
SCENES15,6,108,1
SCENES29,6,108,1
SCENES41,2,108,1
SCENES40,6,108,1
SCENES46,6,108,1
SCENES37,NA,108,2
SCENES7,NA,108,2
SCENES18,1,108,2
SCENES3,1,108,1
SCENES24,2,108,2
